Symbol,Date,Expiry,Option Type,StrikePrice,OptionPR,StockPR,StockPR1
NIFTY,11-Apr-19,31-Dec-20,CE,11000,1875,1951.5,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,10900,2010,2027,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,10800,2075,2103.65,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11800,1710,1396.55,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11700,1480,1460.85,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11600,1990,1526.25,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11500,1980,1593.6,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11400,1700,1662.4,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11300,1735,1732.65,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12400,1330,1045.8,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12200,1505,1505,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12300,1330,1099.85,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12100,1565,1565,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12000,1527.5,1272.45,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,11900,1325,1333.9,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13000,714.65,758.1,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12900,763.4,801.7,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12800,772.1,847.05,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12700,820.15,894.1,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12600,1340,942.9,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,12500,1315,993.45,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13500,883.95,565.6,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13400,788.35,600.8,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13300,768.45,637.65,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13200,737,676.1,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13100,677.75,716.25,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,14100,729.25,386.65,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,14000,689.85,412.85,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13900,682.95,440.4,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13800,659.25,469.45,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13700,684,500,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,13600,621.6,532,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,4900,3978.2,7247.65,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,4800,4010.1,7336.4,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,4700,3896.8,7425.15,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,4600,3955.65,7513.9,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5400,4087.8,6803.85,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5300,4098.1,6892.6,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5200,4015.95,6981.35,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5100,4016.5,7070.1,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5000,4019.95,7158.85,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,6000,3823.1,6271.3,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5900,3889.95,6360.05,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5800,3957.05,6448.8,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5700,4024.4,6537.55,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5600,4091.9,6626.35,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,5500,4159.6,6715.1,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,6600,3428.1,5738.75,11596.7
NIFTY,11-Apr-19,31-Dec-20,CE,6500,3493.1,5827.5,11596.7
